id,year,area_title,industry_title,industry_emplvl,total_emplvl,industry_emp_pct,industry_emp_pct_us,region
Kentucky 56,1990,Kentucky,Administrative and waste services,46156,1403035,0.032897254879600296,0.042692472313767764,South
Kentucky 61,1990,Kentucky,Educational services,112116,1403035,0.07990962449261779,0.07824756674351452,South
Kentucky 62,1990,Kentucky,Health care and social assistance,147258,1403035,0.1049567544644289,0.10168415696401845,South
Kentucky 71,1990,Kentucky,"Arts, entertainment, and recreation",13714,1403035,0.009774524512930895,0.015898206127530793,South
Kentucky 72,1990,Kentucky,Accommodation and food services,108669,1403035,0.07745280766338687,0.0732416793262012,South
Kentucky 81,1990,Kentucky,"Other services, except public administration",39936,1403035,0.02846400838182939,0.032391858003697725,South
Kentucky 92,1990,Kentucky,Public administration,83324,1403035,0.059388397295862184,0.05871915597979498,South
Louisiana 11,1990,Louisiana,"Agriculture, forestry, fishing and hunting",13634,1536130,0.008875550897384987,0.010081339957142024,South
Louisiana 21,1990,Louisiana,"Mining, quarrying, and oil and gas extraction",52699,1536130,0.034306341260179805,0.006107069487153181,South
Louisiana 22,1990,Louisiana,Utilities,19374,1536130,0.0126122138100291,0.009209375380671842,South
Louisiana 23,1990,Louisiana,Construction,101254,1536130,0.0659149941736702,0.049639363954906875,South
Louisiana 31-33,1990,Louisiana,Manufacturing,176963,1536130,0.1152005364129338,0.1650793442794685,South
Louisiana 42,1990,Louisiana,Wholesale trade,70466,1536130,0.04587241965198258,0.04771221009260455,South
Louisiana 44-45,1990,Louisiana,Retail trade,202371,1536130,0.13174080318723025,0.1242573250465966,South
Louisiana 48-49,1990,Louisiana,Transportation and warehousing,77445,1536130,0.0504156549250389,0.039290996768313484,South
Louisiana 51,1990,Louisiana,Information,29079,1536130,0.018930038473306297,0.0267274287463636,South
Louisiana 52,1990,Louisiana,Finance and insurance,59819,1536130,0.03894136563962686,0.04705542834509937,South
Louisiana 53,1990,Louisiana,Real estate and rental and leasing,26672,1536130,0.017363113798962326,0.01649028834858472,South
Louisiana 54,1990,Louisiana,Professional and technical services,53265,1536130,0.03467479965888304,0.0459936778766959,South
Louisiana 55,1990,Louisiana,Management of companies and enterprises,8833,1536130,0.005750164374108962,0.009481056257873937,South
Louisiana 56,1990,Louisiana,Administrative and waste services,59571,1536130,0.038779920970230385,0.042692472313767764,South
Louisiana 61,1990,Louisiana,Educational services,151305,1536130,0.0984975229961006,0.07824756674351452,South
Louisiana 62,1990,Louisiana,Health care and social assistance,180204,1536130,0.11731038388678042,0.10168415696401845,South
Louisiana 71,1990,Louisiana,"Arts, entertainment, and recreation",18510,1536130,0.01204976141342204,0.015898206127530793,South
Louisiana 72,1990,Louisiana,Accommodation and food services,108907,1536130,0.07089699439500563,0.0732416793262012,South
Louisiana 81,1990,Louisiana,"Other services, except public administration",42755,1536130,0.02783293080663746,0.032391858003697725,South
Louisiana 92,1990,Louisiana,Public administration,83004,1536130,0.05403448926848639,0.05871915597979498,South
